CrashID,RdCharacte,RdClass,RdConditio,RdConfig,RdDefects,RdFeature,RdSurface,Region,RuralUrban,SpeedLimit,TraffCntrl,Weather,Workzone,Latitude,LightCond,Locality,Longitude
103303920,Straight - Level,Unknown,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,Stop And Go Signal,Clear,No,35.7867,Daylight,Urban (>70% Developed),-78.664041
103304073,Straight - Grade,Local Street,Dry,"Two-Way, Divided, Positive Median Barrier",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,40 - 45  MPH,No Control Present,Clear,No,36.068569,Dark - Lighted Roadway,Urban (>70% Developed),-79.848054
103304585,Straight - Hillcrest,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Piedmont,Urban,20 - 25  MPH,No Control Present,Clear,No,36.093157,Daylight,Urban (>70% Developed),-79.775937
103304636,Straight - Level,US Route,Dry,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Coarse Asphalt,Coastal,Rural,50 - 55  MPH,No Control Present,Cloudy,No,34.31956,Daylight,Rural (<30% Developed),-77.768151
103304908,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Coastal,Rural,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,34.811898,Daylight,Rural (<30% Developed),-79.144403
103305634,Straight - Level,NC Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Coastal,Rural,30 - 35  MPH,No Control Present,Clear,No,34.564849,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),-77.914599
103305658,Straight - Level,Local Street,Wet,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Coastal,Rural,30 - 35  MPH,Stop Sign,Rain,No,34.827589,Daylight,Urban (>70% Developed),-79.173991
103305757,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Coarse Asphalt,Coastal,Urban,20 - 25  MPH,Yield Sign,Clear,No,34.243992,Daylight,Urban (>70% Developed),-77.837734
103305804,Straight - Level,NC Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Coastal,Rural,50 - 55  MPH,No Control Present,Clear,No,33.899733,Dark - Roadway Not Lighted,Rural (<30% Developed),-78.550933
103306645,Straight - Level,Local Street,Dry,"Two-Way, Divided, Positive Median Barrier",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,40 - 45  MPH,Stop And Go Signal,Cloudy,No,35.259884,Daylight,Urban (>70% Developed),-80.777125
103306971,Straight - Hillcrest,Local Street,Dry,"Two-Way, Not Divided",None,T-Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,Stop Sign,Clear,No,35.706503,Daylight,Urban (>70% Developed),-81.200496
